commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,67.2,75.11,71.15,11/19/2019
Groundnut,Tamil Nadu,Vellore,Vellore,66.25,72.36,70,11/19/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,55.86,71.16,65.78,11/18/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,56.23,73.73,64.5,11/18/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,65.98,83.61,74.79,11/18/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,56.88,78.75,67.81,11/29/2019
Groundnut,Tamil Nadu,Namakkal,Rasipuram,45,50,47.5,11/29/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,58.74,71.99,66,11/29/2019
Groundnut,Tamil Nadu,Erode,Anthiyur,43.46,61,51.06,11/21/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,50.49,71.74,61.11,11/21/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,53.98,73.73,64.86,11/21/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,59.86,72.99,67.61,11/25/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,58.04,76.61,67.33,11/25/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,59.96,69.5,61.49,11/12/2019
Groundnut,Tamil Nadu,Erode,Anthiyur,44.19,60,51.39,11/28/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,62.99,77.63,70.31,11/28/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56,58,57,11/28/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,54.61,71.88,66.73,11/28/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,52.52,66.61,64.02,11/19/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,56.49,69.38,63.13,11/19/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,50.11,68.38,66.13,11/7/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,53.75,65.4,63.47,11/7/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,60.25,68.36,64.31,11/7/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,58.36,79.36,68.86,11/7/2019
Groundnut,Tamil Nadu,Vellore,Vellore,58.64,73.86,72,11/7/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,40.98,50.93,44.48,11/7/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,62.66,66.11,63.83,11/7/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Arani,51.99,52.01,52,11/22/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,55.86,70.73,66.11,11/22/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,52.51,65.88,63.2,11/22/2019
